title,human_label
Clean Air Act Amendment of 2023,ENVIRONMENT
Medicare for All Act,HEALTHCARE
Border Security and Immigration Reform Act,IMMIGRATION
Carbon Tax and Dividend Act,TAXES/FINES
Affordable Housing Development Act,ENVIRONMENT
Corporate Tax Reform Act,TAXES/FINES
Universal Basic Income Pilot Program Act,HEALTHCARE
Renewable Energy Investment Incentive Act,ENVIRONMENT
Immigration and Nationality Act Amendment,IMMIGRATION
Plastic Waste Reduction Act,ENVIRONMENT
Child Tax Credit Expansion Act,TAXES/FINES
National Health Service Act,HEALTHCARE
Endangered Species Protection Act,ENVIRONMENT
Immigration Reform and Control Act,IMMIGRATION
Tobacco Tax Increase Act,TAXES/FINES
Affordable Care Act Repeal and Replace Act,HEALTHCARE
Clean Water Restoration Act,ENVIRONMENT
Immigration Detention Reform Act,IMMIGRATION
Carbon Emissions Cap and Trade Act,TAXES/FINES
Mental Health Parity Act,HEALTHCARE
Wildlife Conservation Fund Act,ENVIRONMENT
Border Security Enhancement Act,IMMIGRATION
Sugar Tax Implementation Act,TAXES/FINES
National Environmental Policy Act Amendment,ENVIRONMENT
Healthcare Price Transparency Act,HEALTHCARE
Immigration Enforcement and Compliance Act,IMMIGRATION
Renewable Energy Production Tax Credit Extension Act,TAXES/FINES
Public Lands Conservation Act,ENVIRONMENT
Medicaid Expansion Act,HEALTHCARE
Pollution Control and Prevention Act,ENVIRONMENT
Immigration Visa Reform Act,IMMIGRATION
Carbon Footprint Reduction Incentive Act,ENVIRONMENT
Universal Healthcare Coverage Act,HEALTHCARE
Tax Evasion Enforcement Act,TAXES/FINES
Immigrant Employment Opportunities Act,IMMIGRATION
Clean Energy Investment Act,ENVIRONMENT
National Healthcare Reform Act,HEALTHCARE
Customs and Immigration Enforcement Act,IMMIGRATION
Income Tax Rate Adjustment Act,TAXES/FINES
Environmental Impact Assessment Act,ENVIRONMENT
Mental Health Care Access Act,HEALTHCARE
Border Patrol Strengthening Act,IMMIGRATION
Corporate Environmental Responsibility Act,ENVIRONMENT
Healthcare Affordability Act,HEALTHCARE
Illegal Immigration Deterrence Act,IMMIGRATION
Vehicle Emissions Reduction Act,ENVIRONMENT
Public Health Emergency Response Act,HEALTHCARE
Immigration Visa Lottery Reform Act,IMMIGRATION
Tax Incentives for Renewable Energy Act,TAXES/FINES
Water Pollution Control Act,ENVIRONMENT
Affordable Prescription Drugs Act,HEALTHCARE
Immigration Quota Reform Act,IMMIGRATION
Carbon Pricing Mechanism Implementation Act,TAXES/FINES
Green Building Standards Act,ENVIRONMENT
Universal Mental Health Care Act,HEALTHCARE
Immigration Detention Facilities Improvement Act,IMMIGRATION
Tax Compliance Enforcement Act,TAXES/FINES
Renewable Energy Subsidies Extension Act,ENVIRONMENT
Healthcare Quality Improvement Act,HEALTHCARE
Immigration Amnesty Act,IMMIGRATION
Carbon Offset Trading Scheme Act,TAXES/FINES
Environmental Conservation Grant Program Act,ENVIRONMENT
Affordable Healthcare Coverage Act,HEALTHCARE
Large Border Trees Reform Act,IMMIGRATION
Tax Reform and Simplification Act,TAXES/FINES
Clean Energy Research and Development Act,ENVIRONMENT
Universal Childcare Access Act,HEALTHCARE
Immigration Visa Priority System Act,IMMIGRATION
Corporate Tax Evasion Penalties Act,TAXES/FINES
Wildlife Habitat Protection Act,ENVIRONMENT
Mental Health Crisis Response Act,HEALTHCARE
Border Crossing Security Enhancement Act,IMMIGRATION
Carbon Capture and Storage Incentive Act,ENVIRONMENT
Public Health Education and Awareness Act,HEALTHCARE
Migrant Fees Policy Reform Act,TAXES/FINES
Tax Fraud Prevention Act,TAXES/FINES
Clean Transportation Infrastructure Investment Act,ENVIRONMENT
Healthcare Provider Accountability Act,HEALTHCARE
Immigration Border Wall Funding Act,IMMIGRATION
Carbon Neutrality Goal Act,TAXES/FINES
National Park Conservation Act,ENVIRONMENT
Primary Care Access Expansion Act,HEALTHCARE
Visa Overstay Penalties Enforcement Act,IMMIGRATION
Renewable Energy Tax Credits Expansion Act,TAXES/FINES
Clean Water Infrastructure Improvement Act,ENVIRONMENT
Mental Health Support Services Expansion Act,HEALTHCARE
Immigration Visa Application Process Reform Act,IMMIGRATION
Tax Deductions for Green Investments Act,ENVIRONMENT
